full	word_form	original_word_form	complete_word_form_adjusted	ja	reference	first_part	several_hits	country_corpus	speakers_nasjonality 	comments	sentence	free_standing	type_comment	obligatory	discourse_marker	sentence_position	clause_position	position	with_conjunction	conjunction	comma	in_total	listing	nachfolgend_komplett	with_pronoun	negation	continuation_declarative_sentence	wie_xzy_ist/sind	EH-type	beischeid_wissen	xzy_besser_wissen	genauso_wissen	alles_wissen	xzy_sowieso_wissen	schon_wissen	zuviel_wissen	selber_wissen			
Und billiger telefonieren? Ja, ich frage, wer da herinnen in dem Haus oder draußen: Geht’s in die Einkaufsstraßen und fragt die Bürger, wo ist denn das Telefonieren billiger geworden? Ein jeder sagt, na so ein Blödsinn! Wer erzählt denn den Blödsinn? Ich sage immer, ja, das ist unser Landesfürst. Der erzählt das. Sagen sie: Na, weißt ja eh dass der nie die Wahrheit sagt. Dann ist das Gespräch beendet. 	weisst eh	weißt ja eh	weibt ja eh	0	Sitzungsbericht der 30. Sitzung der Tagung 2005/06 der XVI. Gesetzgebungsperiode des Landtages von Niederösterreich.	PNO		DE	AT		Na, weißt ja eh dass der nie die Wahrheit sagt. 	0	eingebettet	1	0				0		0				0		dass	0		0	0	0	0	0	0	0	0	0		
Gegen diesen Faschingsschmarrn aus Wahnmoching waren sie machtlos, die Kommissare Batic und Leitmayr, unser cooles 'Traumpaar' von der Mordkommission. Da half kein noch so lässig rezitiertes 'Weißt ja eh!' oder 'Was meinst'n Ivo? - Nix, und Du?'. Keine Frage, sie sind das überbesetzteste Paar im deutschen Fernsehtraum, Titania und Oberon der ARD, weit hinaus über das Krimifach. Und dann werden sie so verschenkt. 'Himmelherrgott zefix hallelujah' möchte man da mit dem Engel Aloisius wehklagen und auf die wiederkehrende Eingebung des Bayerischen Rundfunks warten. 	weisst eh	weißt ja eh	weibt ja eh	0	Süddeutsche Zeitung	U93		DE			Da half kein noch so lässig rezitiertes 'Weißt ja eh!' oder 'Was meinst'n Ivo? - Nix, und Du?'.	1	frei / ausdruck	?	0				0		0				0		0	0		0	0	0	0	1	0	0	0	0		
Wolfbauer erzählt ohne Larmoyanz, wie Jourmalisten und Sportler miteinander umgingen, damals, zu Zeiten, da die Interviews noch kurz und die Gefühle groß waren. Als er Georg Schwarzenbeck zu dessen 1:1 in der 119. Minute des Europacupfinales gegen Atlético Madrid befragen wollte, sagte der bloß: „Weißt ja eh’, wie’s ist.” Und Wolfbauer wußte es. Oder als sich Uwe Seeler an seiner Schulter ausweinte, und Wolfbauer nachher wissen wollte, was er denn davon schreiben dürfe. „Natürlich nichts”, war die Antwort, und Wolfbauer schrieb natürlich nichts. „Diese Zusage von Vertraulichkeit war wie ein heiliger Eid”, erzählt der Reporter von damals. Als Wolfbauer zwischen 1963 und 1969 bei der Abendzeitung war, konnte er es sich sogar erlauben, die eine 	weisst eh	weißt ja eh	weibt ja eh	0	Süddeutsche Zeitung	U97		DE	bay		Weißt ja eh’, wie’s ist.	0	eingebettet	1	0				0		0				0		wie	1		0	0	0	0	0	0	0	0	0		
Was zeigt dir denn an diesem Beitrag von mir, dass er von einem (ohne angeben zu wollen (und du weißt ja eh, wie der Begriff bei ID gebraucht wird)) intelligenten Wesen stammt? (Und es ist dabei total egal, ob ich den Textüber eine Tastatur eingebe usw. die Frage ist nur, warum er nicht durch zufällige (durchaus mögliche) Fehler im Netz entstanden sein soll. 	weisst eh	weißt ja eh	weibt ja eh	0	Wikipedia	WDD11		DE			Was zeigt dir denn an diesem Beitrag von mir, dass er von einem (ohne angeben zu wollen (und du weißt ja eh, wie der Begriff bei ID gebraucht wird)) intelligenten Wesen stammt? 	0	eingebettet	1	0				1	und	0				1		wie	0		0	0	0	0	0	0	0	0	0		
"Es grenzt langsam an Vandalismus, was Du hier machst, mein lieber Nerdal, der Du offensichtlich nichts besseres zu tun hast, als Bandseiten von Informationen ""freizuhalten"", welche Dir nicht passen. Den Link http://t-e-t.org/tet-reaction.htm hatte ich Dir bereits letztes Jahr gegeben. Jemals angeguckt? Wozu auch - Du weißt ja eh besser bescheid. Fakten werden durch persönlichen Geschmack ersetzt. ("	weisst eh	weißt ja eh	weibt ja eh	0	Wikipedia	WDD11		DE			Wozu auch - Du weißt ja eh besser bescheid.	0	eingebettet	1	0				0		0				1		0	0		1	0	0	0	0	0	0	0	0		
 Wenn du es sagst. Du weißt ja eh alles besser. dann kannst du mir auch erzählen, wie mein Leben so abläuft. (NGFAH/B14.16040 Re: Gefühlte Sicherheitaufwacht, In: de.rec.fahrrad, Usenet 11.7.2014 )	weisst eh	weißt ja eh	weibt ja eh	0	Usenet 	NGFAH		DE			Du weißt ja eh alles besser. 	0	eingebettet	1	0				0		0				1		0	0		0	1	0	0	0	0	0	0	0		
 Zu 100%? Ach, wieso frage ich, du weißt ja eh nicht Bescheid. Egal. Und früher? (NGTAG/B15.73447 Re: Kapitalismus - Motor des Fortschritts, In: de.talk.tagesgeschehen, Usenet 4.10.2015 )	weisst eh	weißt ja eh	weibt ja eh	0	Usenet 	NGTAG		DE			Ach, wieso frage ich, du weißt ja eh nicht Bescheid. 	0	eingebettet	1	0				0		0				1		0	0		1	0	0	0	0	0	0	0	0		
"Die 61-Jährige weiß selbst, wovon sie spricht. In der Grundschule brachte sie sich selbst Lesen bei, war jahrelang Klassenbeste, wurde aber ausgebremst. «Nee, Dich nehme ich jetzt nicht dran, Du weißt ja eh immer alles», beschreibt sie ihre Erfahrung mit Lehrern. Später habe sie oft das Gefühl gehabt, auch menschlich «immer gegen die Tür zu laufen». (DPA25/JAN.00632 dpa, 03.01.2025; 1917 )"	weisst eh	weißt ja eh	weibt ja eh	0	dpa 	DPA25	IIII	DE			Nee, Dich nehme ich jetzt nicht dran, Du weißt ja eh immer alles	0	eingebettet	1	0				0		0				1		0	0		0	0	0	1	0	0	0	0	0		
"Dass Hermann Maier Mittwoch zu seiner Pressekonferenz 23 Minuten zu spät gekommen ist, war keine Überraschung. Seine schnelle Reaktion auch nicht: ""Wisst's eh, der Verkehr."" Um dann seinen PR-Mann Manfred Kimmel ""volley"" zu übernehmen: ""Außerdem habe ich einen Chaffeur, der nicht besonders gut Auto fährt.. ."" (K00/JAN.05233 Kleine Zeitung, 21.01.2000, Ressort: Sport; Alles Maier - nur nicht, wenn's um Geld geht )"	wisst's eh	wisst's eh	wisst's eh	0	Kleine Zeitung	K00		AT			Wisst's eh, der Verkehr	0	eingebettet	0	1	initial	initial	initial	0		0			incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
"Erst am Morgen, als die ersten Mitarbeiter bei dem Unternehmen eintrafen, marschierte der Zeuge über die Straße: ""Wisst's eh', bei Euch ist in der Nacht eingebrochen worden!"" (NON07/SEP.02161 Niederösterreichische Nachrichten, 04.09.2007, S. 21; Der Zeuge blieb stumm )"	wisst's eh	wisst's eh	wisst's eh	0	Niederösterreichische Nachrichten	NON07		AT			Wisst's eh', bei Euch ist in der Nacht eingebrochen worden!	0	eingebettet	0	1	initial	initial	initial	0		0			complete	0		0	0		0	0	0	0	0	0	0	0	0		
",Ihr wisst's eh, dass die Gegner da drüben sitzen.' So geht das  (PRF00/DEZ.00085 profil, 11.12.2000, S. 24; ""Roter Hund, grüner Schwanz"" )"	wisst's eh	wisst's eh	wisst's eh	0	profil	PRF00		AT			Ihr wisst's eh, dass die Gegner da drüben sitzen.	0	eingebettet	1	0				0		0				1		dass	0		0	0	0	0	0	0	0	0	0		
"Hartes Brot, Herz und SeeleG Am Tag, als die Sonne verschwunden war, ein bisschen Neuschnee die Berge rundum angezuckert hatte, verdüsterten nicht nur Wolken und Nebel den Himmel über Bormio. ""Wollt's nicht einmal was über die Freiwilligen schreiben?"", stellte eine von ihnen die Frage in den Raum, ganz so, als wollte sie sagen, dass es möglichst schnell geschehen müsste, damit es noch welche gibt. ""Wisst's eh, dass sie der Organisation davonlaufen zu Hunderten!"" Aber nicht etwa, weil sie sich im Eiskasten des Veltlin kalte Füße und erhöhte Temperaturen geholt hatten. Nein, sie flüchten aus Bormio, weil sie sich ""missbraucht"" fühlen.  (P05/FEB.00205 Die Presse, 02.02.2005, S. 23; appuntamento )"	wisst's eh	wisst's eh	wisst's eh	0	Die Presse	P05		AT			Wisst's eh, dass sie der Organisation davonlaufen zu Hunderten!	0	eingebettet	1	0				0		0				0		dass	0		0	0	0	0	0	0	0	0	0		
"Auch im Verkehrsministerium wappnet man sich für die kalte Jahreszeit. Erlauscht in der Kantine: G Sektionschef (v.) Asphaltinger: Zu blöd, dass i euch no so kurz vor den Weihnachtsfeiern inkommodier. Wisst's eh, jetzt wird's wieder kalt. Und vorig's Jahr ham doch so viele Autofahrer beim Eiskratzen des blöde Prüfpickerl zerstört . . . (P10/NOV.03517 Die Presse, 27.11.2010, S. 34; Pizzicato Dienstanweisung )"	wisst's eh	wisst's eh	wisst's eh	0	Die Presse	P10		AT			Wisst's eh, jetzt wird's wieder kalt. 	0	eingebettet	0	1	initial	initial	initial	0		0			complete	0		0	0		0	0	0	0	0	0	0	0	0		
"Wir wissen's eh: Wer im Glashaus sitzt… Aber diesen ""Tippfehler"" hat uns die Kinderfußballmannschaft Neufeld aus der Turnhalle Hornstein übermittelt. (BVZ07/JAN.00854 Burgenländische Volkszeitung, 10.01.2007, S. 6; )"	wissen's eh	wissen's eh	wissen's eh	0	Burgenländische Volkszeitung	BVZ07	II	AT			Wir wissen's eh: Wer im Glashaus sitzt… 	0	frei	?	1	initial	initial	initial	0		0			?	1		0	0		0	0	0	0	0	0	0	0	0		
"Die Barbarei der Umsteige-Litanei ist evident; in keiner vernünftigen Stadt wird dergleichen angesagt; die Einheimischen wissen's eh, und welchem uninformierten Ausländer wird mit Ziffern, Zahlen und dem Vollständigkeitsfimmel der ""regionalen Autobuslinien"" geholfen? Die sadistische Lautstärke ist so gewählt, daß selbst jene Fahrgäste, deren Gehör durch jahrelanges Erleiden des Durchsagelärms schon schwer geschädigt ist, beim Schallpegel der U-6-Höchstgeschwindigkeit die Durchsage verstehen. Man sieht: Ich bin gutmeinend; ich unterstelle irgendeinen Sinn. Dabei ist die Störanfälligkeit der Tonbänder und (P92/APR.10438 Die Presse, 08.04.1992; Keulenschlag aufs Trommelfell )"	wissen's eh	wissen's eh	wissen's eh	0	Die Presse	P92		AT			"; die Einheimischen wissen's eh, und welchem uninformierten Ausländer wird mit Ziffern, Zahlen und dem Vollständigkeitsfimmel der ""regionalen Autobuslinien"" geholfen?"	0	eingebettet	1	0				0		0				proper		0	0	de	0	0	0	0	1	0	0	0	0		
" Da wurde über vier oder 40 Millionen - Schulden, versteht sich so geredet, als käm's auf die eine oder andere nicht an. Rapid werde, so Gustl Starek, nie untergehen. Der Spaß hört sich aber auf, wenn der Trainer gleich zweimal - doppelt hält besser! - den Verdacht in den Raum stellte, ""einige Hände"" hätten da ""in den Topf"" gegriffen, ohne Vermutungen zu konkretisieren. Ein bisserl Rufmord mit ein bisserl Diebstahl, na und...? Motto: Wissen's eh, i kenn mi im Fußball aus! ""Das ist der Gustl!"", kommentierte Anton Benya, die graue Eminenz, in aller Sprachlosigkeit. Als noch das Telephon mehrmals klingelte, kam man sich vor, als würde rund um Fußball und Rapid ein heiteres Bezirksgericht inszeniert. Es durfte, erst recht, als sich Hans Krankl als Pointenschleuderer zu Wort meldete, lauthals und herzhaft gelacht werden. Rapid ist zum Possenreißer geschrumpft, der statt Beifallssalven nur noch Lachstürme erntet. (P92/SEP.26887 Die Presse, 09.09.1992; Ein heiteres Bezirksgericht )"	wissen's eh	wissen's eh	wissen's eh	0	Die Presse	P92		AT			Motto: Wissen's eh, i kenn mi im Fußball aus! 	0	eingebettet	0	1	initial	initial	initial	0		0			complete	0		0	0		0	0	0	0	0	0	0	0	0		
"Elizabeth Spira ist heftig gezaust worden für ihre ""Liebesg'schichten und Heiratssachen"". Hier sei sie zu weit gegangen, so der Tenor der Kritik, hier habe sie ihre Objekte schutzlos der Kamera ausgeliefert. Doch ist der Schutz vor der Kamera nicht eine Fiktion, ist es nicht Spiras Verdienst, immer zu weit zu gehen, nie zu verbergen, daß der Schaden den Spott nach sich zieht? ""Wissen'S eh, die Träume!"", sagt einer ihrer Heiratskandidaten, und sieht ein: ""Man kann nicht mit einem Rahmen ein Bild suchen."" Was erschrecken mag, ist, daß die Schutzreaktion des mitleidigen Lächelns hier nicht mehr funktioniert. Weit vom Kabarett entfernt, als das man ihre ""Alltagsgeschichten"" manchmal mißverstehen konnte, ist Spira gnadenlos in ihrem Blick - und in ihrer Sympathie, die über gnädiges Mitleid hinausgeht, über Hilfskonstruktionen, wie daß Einsamkeit fromm mache oder (P97/AUG.29304 Die Presse, 04.08.1997, Ressort: Kultur; TV-Kritik )"	wissen's eh	wissen's eh	wissen's eh	0	Die Presse	P97		AT			Wissen'S eh, die Träume!	0	eingebettet	?	1	initial	initial	initial	0		0			incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
"""noch"", leuchtet golden in die Dunkelheit; Herr Erich stellt die ersten Tische auf. Er ist nicht mehr alleine. Aus Lieferwägen werden kistenweise Gemüse, Obst, Fleisch entladen; jeder bezieht seinen Stammplatz. Um halb sechs sind die ersten Standler verkaufsbereit. ""Ich komme nur wegen dem Parkplatz so früh"", erklärt eine Frau, siebzig, Kopftuch. Sie braucht nur einen Tisch, verkauft Marillen, ein wenig Salat, ein paar Zwiebeln ""und im Winter a bisserl a Kraut, Nuss'n, wissen's eh"". Noch fehlt die Kundschaft; Zeit, die genutzt wird. Kürbis wird geschnitten und verpackt, Kraut wird gehobelt. Man scherzt von Stand zu Stand oder unterhält sich über Wetter, Wind, Regen, Kälte und noch mal das Wetter. Herr Erich baut weiter Tische auf. Mehr als 200 sind es am Samstag, dem Großkampftag auf seiner Seite des Marktes, fast 500 Stück insgesamt.  (FLT07/OKT.00083 Falter, 03.10.2007, S. 12; Am Rummelplatz )"	wissen's eh	wissen's eh	wissen's eh	0	Falter	FLT07		AT			"Sie braucht nur einen Tisch, verkauft Marillen, ein wenig Salat, ein paar Zwiebeln ""und im Winter a bisserl a Kraut, Nuss'n, wissen's eh"". "	0	eingebettet	0	1	final	final	final	0		0		1	incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
"Da wird ein herzensguter türkischer Kneipenbesitzer von einer Yuppie-Fratze erpreßt, sein Lokal wird zusammengeschlagen, und für all die netten Nachbarn aus dem malerisch repressionsfreien Altbaublock war's natürlich der Hausbesitzer. Aber Eberhard Feik macht sowas nicht, nicht mal im Kino, und Trudi, Tom der Computer-Freak und der Ausreißer Rollo wissen's eh' besser. Schön fad. (Metropolis, Nürnberg) -wu- (NUN92/DEZ.01517 Nürnberger Nachrichten, 18.12.1992, S. 23; ""Die Distel"" )"	wissen's eh	wissen's eh	wissen's eh	0	Nürnberger Nachrichten	NUN92		DE			Aber Eberhard Feik macht sowas nicht, nicht mal im Kino, und Trudi, Tom der Computer-Freak und der Ausreißer Rollo wissen's eh' besser.	0	eingebettet	1	0				0		0				proper		0	0		0	1	0	0	0	0	0	0	0		
" Zwar klingt ""die Lethe"" wie ein Milchprodukt, aber alle Lexika behaupten: Femininum. So sind wir alle durch und durch von den Klassikern geprägt. Als ich im Roman""Die Fremde im Spiegel""von Judy Mercer auf den Satz stieß: ""Ich bin... in die Tiefen der Lethe geschmissen worden"", rief ich zunächst mal in die Stille meiner Klause ""Ha!"", weil ich dachte - Sie wissen's eh'. Übrigens ein akzeptabler Reißer von dieser Sorte: Frau wacht auf, weiß nicht, wer sie ist, Blut um sie herum und ein Revolver auf dem Bett. Sehr turbulent, und nun bitte ich Sie um Mitdenken: Wird ihr gelingen, ihrem Mörder zuvorzukommen? Erschienen im List Verlag, München, 39,80 Mark. _ (NUN95/NOV.00263 Nürnberger Nachrichten, 04.11.1995, S. 2; )"	wissen's eh	wissen's eh	wissen's eh	0	Nürnberger Nachrichten	NUN95		DE			Sie wissen's eh	0	eingebettet	1	0				0		0				1		0	0		0	0	0	0	?	0	0	0	0		
" Und den Bauern aus Gössl, dem Annerl Sepp, dem Ötzer, dem Oder, dem Butterer, dem Rotbart, dem Kößler und dem Veit, ist das ganz recht so. Sieben Bauern sind sie noch unter den 400 Dorfbewohnern, und jährlich, in festem Turnus, übernimmt ein anderer von ihnen das Amt des Dorfrichters. Die Rotation sei wichtig, sagt der Annerl Sepp, der zuletzt 1999 Dorfrichter in Gössl war und noch immer vorgeschickt wird, wenn jemand eine Frage hat, obwohl zur Zeit der Ötzer amtiert. »Wissen's eh, wie es ist«, sagt er, »wenn es immer derselbe gewesen wäre, gäbe es uns nicht mehr!« Dann lacht er schallend. (Z02/208.04095 Die Zeit (Online-Ausgabe), 15.08.2002; Adams Erben [S. 61] )"	wissen's eh	wissen's eh	wissen's eh	0	Die Zeit 	Z02		DE	AT		Wissen's eh, wie es ist	0	eingebettet	1	0				0		0				0		wie	1		0	0	0	0	0	0	0	0	0		
" Es zeigt sich, dass der junge, schöne Mr. Forbes »eigentlich« Männer liebt, was er nicht zuletzt am Vorabend seiner Hochzeit einwandfrei unter Beweis stellt. Forbes heiratet eine wenig attraktive Frau, schließlich gibt es auch andere Vorteile als sexuelle, zum Beispiel finanzielle. Doch während er zu triumphieren glaubt, reitet er sich mit seinen homosexuellen Handlungen ziemlich hinein: wenn das die Mutti wüsste oder auch nur die Gattin! Die wissen's eh, nur der schöne Tropf weiß nichts, weiß also auch nicht, was die anderen lange schon über ihn wissen. Aber alles wird gut. Es ist unendlich komisch, wie diese Figuren einander belügen und wie sie - ihrer Lügen wegen - bis ans Ende ihrer Tage glücklich leben. (Z13/FEB.00315 Die Zeit (Online-Ausgabe), 21.02.2013; Täuschend unziemlich )"	wissen's eh	wissen's eh	wissen's eh	0	Die Zeit 	Z13		DE			Die wissen's eh, nur der schöne Tropf weiß nichts, weiß also auch nicht, was die anderen lange schon über ihn wissen. 	0	eingebettet	1	0				0		0				dem		0	0		0	0	0	0	?	0	0	0	0		
"Das sind eben unvermeidliche Begleiterscheinung einer Gesellschaft, die oft nicht mehr zwischen Mundart und Hochsprache unterscheiden kann. Wer die gängigen ORF-Talkshows kennt, der weiß, dass es Österreichern mühelos gelingt einen Satz auf Hochdeutsch zu beginnen und im Dialekt ausklingen zu lassen (""Meine Partei vertritt diesbezüglich ganz andere Ansichten, aber des wissen's eh, mir ham des eh scho' oft ausdiskutiert"". --Eric 01, 20:40, 7. Mär. 2007 (CET) (WDD11/O24.64185: Diskussion:Österreichisches Deutsch/Archiv/2007, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Diskussion:Österreichisches_Deutsch/Archiv/2007: Wikipedia, 2011 )"	wissen's eh	wissen's eh	wissen's eh	0	Wikipedia	WDD11		DE	AT?		Meine Partei vertritt diesbezüglich ganz andere Ansichten, aber des wissen's eh, mir ham des eh scho' oft ausdiskutiert	0	eingebettet	0	0				1	aber	0				0		0	0		0	0	0	0	1	0	0	0	0		
"das Frühlingslied aufgespielt wird von seines Sohnes Leben, und wenn er hinabfährt, ihn zu umarmen - das wird wohl keineswegs aufregend sein? wer jetzt nach Hause geht, der möge nachher die anderen fragen, die zu Ende hörten, ob es aufregend war oder nicht. dann mag die Reue ihn ankommen, und all seiner Lebtage wird er sich im Nachteil fühlen, weil er nicht dabei war, als Jaakob die ägyptischen Enkel kreuzweis segnete, und als der Feierliche seine Sterbestunde beging. ""wir wissen's eh schon!"" das ist ganz töricht gesprochen. die Geschichte kennen kann jeder. dabei gewesen zu sein, das ist's. - aber es scheint, die Einschärfung war unnötig, denn keiner rührt sich vom Fleck. als denn nun Joseph so mit den Elfen geredet hatte und sie mit ihm und miteinander hinausgingen von da, wo er sich zu erkennen gegeben, hinüber zu Asnath, dem Mädchen, seinem Weibe, daß sie sich vor dieser neigten und ihre Neffen sähen mit der ägyptischen Kinderlocke, da herrschte ein (THM/AMJ.00000 T. Mann: Joseph und seine Brüder, [Roman], (1. Buchausgaben 1933-1943), In: [Gesammelte Werke in zwölf Bänden mit einem Ergänzungsband], Bd. 4/5. - Frankfurt a.M., 1960 [S. 1691] )"	wissen's eh	wissen's eh	wissen's eh	0	T. Mann: Joseph und seine Brüder, [Roman]	THM		DE			wir wissen's eh schon!	0	eingebettet	1	0				0		0				1		0	0		0	0	0	0	1	1	0	0	0		
"Eine Wallfahrtskirche in Österreich. Die Tür geht auf. Hastige Schritte durchbrechen die Stille. Vorn rechts bleibt der Mann stehen, entzündet ein Licht, hebt den Blick. „Woasst eh“, höre ich ihn sagen. Du weißt, was los ist, Antonius, jetzt, hier, übersetze ich die Worte für mich. Unfreiwillig bin ich zur Zeugin seines Gebets geworden; drehe mich zur Seite weg, weil ich diesen kurzen Augenblick „Auf Du und Du“ nicht stören will. „Woasst eh“ heißt bei einer evangelischen Pfarrerin von den Philippinen „you know“. Du weißt Bescheid, Gott. Zwei Worte, in denen alles Denkbare verborgen liegen kann: besorgt bin ich, (RHZ14/JAN.07592 Rhein-Zeitung, 10.01.2014, S. 12; Herr, du kennest mich )"	woasst eh	woasst eh	woasst eh	0	Rhein-Zeitung	RHZ14		DE	AT		Woasst eh“, höre ich ihn sagen	1	frei	?	0				0		0				0		0	0		0	0	0	0	1	0	0	0	0		
